2026-05-10 17:11:50 | INFO     | app.retrieval.retriever        | Retrieved 1 chunks. Top score: 0.363. Sources: ['rag_guide.txt']
2026-05-10 17:11:50 | WARNING  | app.agents.rag_agent           | No OPENAI_API_KEY — attempting local Ollama LLM fallback.
2026-05-10 17:11:50 | INFO     | app.agents.rag_agent           | Ollama LLM (llama3) initialized as fallback.
2026-05-10 17:12:02 | INFO     | app.utils.logging_config       | Logging configured. Level=INFO, File=enabled
2026-05-10 17:12:02 | INFO     | __main__                       | Starting Agentic RAG System...
2026-05-10 17:12:02 | INFO     | app.utils.config               | .env file loaded.
2026-05-10 17:12:02 | WARNING  | app.utils.config               | OPENAI_API_KEY is not set but embedding_backend='openai'. Will fall back to sentence-transformers.
2026-05-10 17:12:02 | INFO     | app.utils.config               | Configuration validated successfully.
2026-05-10 17:12:02 | INFO     | app.utils.pipeline             | Initializing RAG Pipeline components...
2026-05-10 17:12:02 | INFO     | app.ingestion.document_loader  | DocumentLoader initialized.
2026-05-10 17:12:02 | INFO     | app.ingestion.chunker          | TextChunker initialized: chunk_size=800, chunk_overlap=150
2026-05-10 17:12:02 | INFO     | app.embeddings.embedding_manager | EmbeddingManager created with backend='openai'
2026-05-10 17:12:02 | INFO     | app.retrieval.vector_store     | VectorStoreManager initialized. Collection: 'rag_documents', Persist dir: 'vectorstore/chroma_db'
2026-05-10 17:12:02 | INFO     | app.retrieval.retriever        | RAGRetriever initialized: k=4, score_threshold=0.3
2026-05-10 17:12:02 | INFO     | app.memory.memory_manager      | MemoryManager initialized with window_size=10
2026-05-10 17:12:02 | INFO     | app.agents.rag_agent           | RAGAgent initialized. Model: gpt-4o-mini, Mode: agent, Temperature: 0.1
2026-05-10 17:12:02 | INFO     | app.utils.pipeline             | RAG Pipeline initialized successfully.
2026-05-10 17:12:02 | INFO     | app.agents.rag_agent           | Processing query: 'Who is Batman?'
2026-05-10 17:12:02 | INFO     | app.retrieval.retriever        | Retrieving context for query: 'Who is Batman?'
2026-05-10 17:12:02 | WARNING  | app.embeddings.embedding_manager | OPENAI_API_KEY not set. Falling back to sentence-transformers.
2026-05-10 17:12:09 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-10 17:12:13 | INFO     | app.embeddings.embedding_manager | Sentence-Transformers embeddings initialized with model 'all-MiniLM-L6-v2'
2026-05-10 17:12:15 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:12:15 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:12:15 | INFO     | app.retrieval.vector_store     | ChromaDB loaded. Collection 'rag_documents' has 29 existing embeddings.
2026-05-10 17:12:15 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionQueryEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:12:15 | INFO     | app.retrieval.vector_store     | Similarity search for 'Who is Batman?...' → 0 results (threshold=0.3)
2026-05-10 17:12:15 | INFO     | app.retrieval.retriever        | No results above threshold. Returning empty RetrievalResult.
2026-05-10 17:26:01 | INFO     | app.utils.logging_config       | Logging configured. Level=INFO, File=enabled
2026-05-10 17:26:01 | INFO     | __main__                       | Starting Agentic RAG System...
2026-05-10 17:26:01 | INFO     | app.utils.config               | .env file loaded.
2026-05-10 17:26:01 | INFO     | app.utils.config               | Configuration validated successfully.
2026-05-10 17:26:01 | INFO     | app.utils.pipeline             | Initializing RAG Pipeline components...
2026-05-10 17:26:01 | INFO     | app.ingestion.document_loader  | DocumentLoader initialized.
2026-05-10 17:26:01 | INFO     | app.ingestion.chunker          | TextChunker initialized: chunk_size=800, chunk_overlap=150
2026-05-10 17:26:01 | INFO     | app.embeddings.embedding_manager | EmbeddingManager created with backend='sentence_transformers'
2026-05-10 17:26:01 | INFO     | app.retrieval.vector_store     | VectorStoreManager initialized. Collection: 'rag_documents', Persist dir: 'vectorstore/chroma_db'
2026-05-10 17:26:01 | INFO     | app.retrieval.retriever        | RAGRetriever initialized: k=4, score_threshold=0.3
2026-05-10 17:26:01 | INFO     | app.memory.memory_manager      | MemoryManager initialized with window_size=10
2026-05-10 17:26:01 | INFO     | app.agents.rag_agent           | RAGAgent initialized. Model: gpt-4o-mini, Mode: agent, Temperature: 0.1
2026-05-10 17:26:01 | INFO     | app.utils.pipeline             | RAG Pipeline initialized successfully.
2026-05-10 17:26:10 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-10 17:26:15 | INFO     | app.embeddings.embedding_manager | Sentence-Transformers embeddings initialized with model 'all-MiniLM-L6-v2'
2026-05-10 17:26:17 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:26:17 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 17:26:17 | INFO     | app.retrieval.vector_store     | ChromaDB loaded. Collection 'rag_documents' has 29 existing embeddings.
2026-05-10 17:26:17 | INFO     | app.retrieval.vector_store     | Collection 'rag_documents' has been reset.
2026-05-10 17:26:17 | INFO     | app.memory.memory_manager      | Conversation memory cleared.
2026-05-10 17:26:17 | INFO     | app.utils.pipeline             | Full pipeline reset complete.
2026-05-10 17:26:26 | INFO     | app.utils.logging_config       | Logging configured. Level=INFO, File=enabled
2026-05-10 17:26:26 | INFO     | __main__                       | Starting Agentic RAG System...
2026-05-10 17:26:26 | INFO     | app.utils.config               | .env file loaded.
2026-05-10 17:26:26 | INFO     | app.utils.config               | Configuration validated successfully.
2026-05-10 17:26:26 | INFO     | app.utils.pipeline             | Initializing RAG Pipeline components...
2026-05-10 17:26:26 | INFO     | app.ingestion.document_loader  | DocumentLoader initialized.
2026-05-10 17:26:26 | INFO     | app.ingestion.chunker          | TextChunker initialized: chunk_size=800, chunk_overlap=150
2026-05-10 17:26:26 | INFO     | app.embeddings.embedding_manager | EmbeddingManager created with backend='sentence_transformers'
2026-05-10 17:26:26 | INFO     | app.retrieval.vector_store     | VectorStoreManager initialized. Collection: 'rag_documents', Persist dir: 'vectorstore/chroma_db'
2026-05-10 17:26:26 | INFO     | app.retrieval.retriever        | RAGRetriever initialized: k=4, score_threshold=0.3
2026-05-10 17:26:26 | INFO     | app.memory.memory_manager      | MemoryManager initialized with window_size=10
2026-05-10 17:26:26 | INFO     | app.agents.rag_agent           | RAGAgent initialized. Model: gpt-4o-mini, Mode: agent, Temperature: 0.1
2026-05-10 17:26:26 | INFO     | app.utils.pipeline             | RAG Pipeline initialized successfully.
2026-05-10 17:26:26 | INFO     | app.utils.pipeline             | Ingesting directory: data
2026-05-10 17:26:26 | INFO     | app.ingestion.document_loader  | Loading file: data\company_kb.pdf (type: .pdf)
2026-05-10 17:26:26 | INFO     | app.ingestion.document_loader  | Successfully loaded 3 document chunks from company_kb.pdf
2026-05-10 17:26:26 | INFO     | app.ingestion.document_loader  | Loading file: data\product_pricing.csv (type: .csv)
